title,videoId,transcript
Secrets of Market Wizards Revealed with George Coyle,4AEdZg78yv8,"Aloha everybody. Welcome back to the Wall Street Coach podcast. My name is Kim Anne Curtain and boy am I excited to have George Coyle with me today. Aloha George. Thank you for being here. Aloha Kim. I'm I'm in rainy Ohio despite my New York City background. So I wish I was in Hawaii there with you. You know you didn't give me the offer to fly out. Maybe next time. really should have George and I will I will make up for that remiss and say the next interview we do in person here in Hawaii. How does that sound? That sounds, you know, that'd be good. I've never been to Hawaii. I'd like to go sometime. I I lived in the Virgin Islands for a few years and I've been told they're very similar, but but yeah, it'd be fun to come check out Hawaii and learn to surf, do something like that. So, I I was thinking about about you being in the US Virgin Island. Was it the British Virgin Islands? BBS? No, it was US. It was St. Thomas in the US. And I thought about the mosquito bites and I thought, well, at least they're not carrying dung fever here, but I'm covered in 50 mosquito bites right now. So, you are away from those. Yeah, I got dingy fever twice down there. Wasn't about to get it a third time. So, I had always wondered why people move from, you know, these beautiful climates to the Midwest where it's very cold in the winter and and you live in the beautiful climates and you realize, well, the mosquitoes have diseases and there's lots of other little pesky parts of living in the islands. So, anyway, there sure is. Well, you know, for those of you who don't know George Coyle, some of you might be living under a rock. I would like to just give you a little formal background on George. Uh he of course is the author of the new Market Wizards book, The Next Generation, that comes out in June. Uh today I'm recording October 30th, 2025, so just a few months away. Um but George has, in addition to this book, has already written a book which is free on Amazon, which we're going to point to also. He's also a money manager and a market strategist. um and he's written works in addition to the new market wizards book is a free book like I said principles of great traders it's an ebook on traderprinciples.com uh he's written multiple papers on successful traders and he has an amazing substack which I'll put the links in uh especially today's uh substack was especially good that also you can sign up for his email I read it before I called George uh and It was just an excellent piece. But you, George, you are an amazing writer. I I'm a reader. I read a lot and your writing is just so seamless and I just thank you for it. So, I can't wait to read the new book. Oh, thank you. Yeah. I guess I don't see myself as a writer so much as just a guy trying to clarify his thoughts and get them down on paper. And I try to adhere to I think it was Elmore Leonard, you know, the guy who wrote Get Shorty. and he said the key to writing is think about the part that people will skip over and remove it. So excellent advice. You do it all the time, George. And it's very rare to have that in writers, especially in the finance world. That to me is even more rare. So just reading your writing has been just a absolute pleasure for me because you you seem to find this way to explain complicated things without jargon. What do you attribute that to? I don't know. You know, it's um set. I guess it's like you ask certain good traders, why are you a great trader? And I don't consider myself a great writer just to I'm humble about it. But, you know, I I thought about that because I've been asked like how do you write like you do? And I guess I just think of something and then I put it down on paper and then I edit it and if it doesn't sound like I want it to sound, I do it again and again and again. And then I also kind of stick to that Elmore Leonard advice and and try to really simplify things down for myself. you know, over years and years of doing this doing this being being involved in markets, I've sort of found complexity is almost always bad. And so I try to simplify things down to the core essentials. But I don't know, you know, some people think that just like great trading could be a gift, great writing is a gift. I mean, I think with that, you still have to practice. I've just written a lot for a very, very long time now, and you know, it's it's mostly a labor of love. A lot of the Substack, for example, is just me sort of warehousing my thoughts in a way that I can go access them. And that's not to jump into it, but that's a lot of the the books and the papers that I've done. It was really, you know, I I was studying to improve my own uh trading, whether it's systematic or discretionary. And I learned all this great stuff and I wanted to get it down on paper so that I wouldn't have to go read 20 books or articles again. Um so so yeah I guess to some extent it's probably a function of passion for the subject and and trying to simplify it down for my own subsequent reading. Yep. And you know considering how many great legends there are uh I can see that that forces one to get into the headspace of their approach by having to put it down on paper. just just what you did with Sakakota al alone with those questions. So just talk a little bit about how do you feel that that practice has made you a better money manager? Yeah, I think um you know there's really only three things that are consistent across a hundred years and that's respect the price action of the market um ride your winners and cut your losses. And I think that if you study really successful people, traders and others, you'll find that they adhere to those in one way or another. So, you know, for my personal, you know, money management or trading or system design, when I realized those were the only core commonalities, I started to incorporate those and my results got more, I guess predictable is a tough word, but I think they got better in line with what I was trying to do. It's very interesting actually. I I took a matrix and I did, you know, here's 25 or 30 of the greatest traders and here's 25 or 30 different attributes that they talked about. And I I'd say diversification and everybody thinks, oh, diversification is the greatest. You know, Ray Dallio calls it the holy grail. And then Stan Ducken Miller calls it the the one of the stupidest ideas out there. Um, and that might not be verbatim, but the point is, you know, he he there's very disperate views on what you should do with diversification. And that's really true of so many aspects of trading. You know, people say, &quot;Oh, you should buy the breakout.&quot; Other people say you should, you know, buy when it pulls back. You know, oh, you should stop out at the low. Oh, you should stop out before the low. The only really three consistencies were respect the price action of the market, ride your winners, and cut your losses. And so, that was really the and it's it's simple in a way, right? People want to hear, oh, well, if you use this moving average combined with this, you'll get the greatest results. But the true consistencies are those three elements. And I guess I kind of liken it to maybe like a a stock car, right? They're all built on essentially the same frame. And then what goes after it uh you know is unique to each car potentially. I don't know enough about stock cars to speak $2, but the structure of most cars is about the same, right? And I think that's the key to me. Once I learned that those three pillars were there and started building around that depending on my goals and the specific situation, all the results got a bit better. So because of all your writing uh and because of how I think really unique it is I I don't know anybody out there who's doing what you've been doing with regards to studying the great traders over time beyond obviously Jack and what Jack's focus has been but you have really just dug over the past hundred years do you feel that that journey just out of your own curiosity is ultimately what has given you kind of this very different perspective even to simplify it to those three. Yeah, I'm not sure I totally understand what you're asking to be honest. Um, but I guess I'll attempt an answer. And when I put that paper, the principles of great traders paper out into the world, I saw it one way and to me it was very clear. And then I had people come to me and say, &quot;Oh, this is awesome.&quot; And they would have some interpretation of it that was different from my interpretation. And at first I was like, &quot;Hey, I I I don't think you understood it the way I did.&quot; And and I've subsequently been like, &quot;Hey, whatever people get from it, let them get that from it.&quot; Right? So, um, maybe that answers your question, but I guess I've taken that wisdom and those lessons and they live in my head in a certain way in terms of just my understanding of it and implementation and I don't think it's consistent across people. I mean, it definitely isn't because of some of the things people have said to me. So, I I think that maybe answers is that what you were getting at or Yes. Yes. because I feel I love that you've had that feedback and that you've just allowed that feedback to sit by itself. I I feel it's sort of that all of us live a life that sees the world a certain way and it feels to me because of your motive from the very start with the work you've done and the writing you've done and the inquiry you there's a curiosity about you with regards to all of these greats and that feels like it can't help but color your ability to always see things that are different perhaps than others do and to capture that so that other traders could see it, but most of all yourself. Yeah. I'm friends with a a famous old trader who I don't want to name um just but he he believes that there's no such thing as objective truth because there's always subjectivity to it. And so yeah, in a sense, yes, I think people interpret the stuff different ways, but to me, I guess if you boil it down to those three core elements, it's it's fairly simple. But maybe it isn't to another person. I hope so. And I guess the other thing that's strange about trading is you can apply those rules to all kinds of different time frames and all kinds of different styles. There's a guy named Bruce Babcock who wrote a book called the four cardinal principles of trading and he came to the same conclusion conclusions that I did uh 30 40 years ago and it was interesting because he said for example trend is a truism. you know, you think of trend and you think, okay, that's the price of Apple going like this. But he said, anything that's profitable has to have a trend. And and that got me to think about you should really think about the equity curve of a strategy in terms of profitability. So you could have a mean reversion strategy that consistently makes money and that's going to be a trend upward even though it's mean reversion. Um, so yeah, it can get deep when you really think about it, but I guess I try to just keep it simple and and take those three principles and and implement them in ways that align with goals. And I think that's very important, too, is, you know, if you're not clear on what you want to do or accomplish, things can really become a disaster. Um, and that's I think to me, like I like systematic trading. I mean, there's pros and cons to every approach, but one of the nice things is it forces you to be very clear on what you're trying to capture, what your design does, how it works. And I think that logic extends well to discretionary trading. If I were to run a trading school, um, I'd probably start with let's learn basic, systematic, robust trend following because you'll learn the value of repetition. You know, the principles are inherent to that strategy. You're looking at prices. you're following prices, you're riding winners and cutting losses. And then once you had that core concept and you taught it to yourself, I think you could take that and go out and say, &quot;Okay, this is good, but I don't necessarily agree with this or I don't love this aspect, so I'm going to take that and go somewhere else.&quot; But um but yeah, interpretations are are very wide. In one way, that's great, right? It's great that you put stuff out into the world and people get value from it that you never saw. Um sometimes it's a bit puzzling to me because I see it the way I see it, but uh but yeah. Yeah. You know, I've uh was very inspired by uh Jack Schwigger's first Marco Wizard's book and how he interviewed and I I was very fortunate to have him in my book, Transforming Wall Street. Uh and I remember meeting Jack for the first time in New York City uh at his uh apartment in condo high in the sky, which is the same one Haer lives with. And I just remember being a nervous wreck. My knees were shaking and of course I was just like the man who's interviewed the grades of the grades that I have to interview. I was so scared. What was it like for you to have this whole journey begin to be even doing this book with Jack if you're willing to share? It's surreal. I actually have yet to meet Jack in person. Um yeah, I I was supposed to go meet him recently. We're almost done with the the book and you know it's sort of like we live in a an age of miracles as as a trader I know says in the sense that you can do something like this without without ever actually meeting someone in person. I mean 100 years ago that wouldn't be possible. But um so I hope to get out to meet him soon. I'm definitely going to go in the next few months. But it's surreal. You know it wasn't really intended. Um, the preface of the book, things change with books, but the intent is for me, I'm going to try to write the story of how I came to be a co-author on the greatest series in trading history. Um, the short version is I wrote a paper about Michael Marcus who was in the first market wizards and I sent it to Jack mainly looking for his feedback. Um, when I do this research, I like to get firsthand accounts. Like I did a paper on Soros and a couple people that knew him came to me and said, &quot;Wow, you really hit the nail on the head.&quot; And and that's awesome. When you do research that's based on public information, you never really know like, &quot;Ah, did people dress it up? Was it accurate? Are they saying what they think they have to to make people happy or not get in trouble?&quot; But um with the Soros stuff, like people came to me on a condition of anonymity and basically said that, you know, this is really spoton. And so every paper I've subsequently written to the extent I can I tried to get people that knew the subject or the the subject whether it's sorry the person or the topic to say yeah you really hit the nail on the head. So I got a mutual friend to actually send my Marcus paper to Jack and he said yeah I could talk to this guy and he said this this did "
Live Coaching w/ The Wall Street Coach (Oct 9 @ 3:00 PM ET),jJJJoqW8U0Q,"Aloha everybody. It's October 9th, 2025. And while this reream is officially starting in 10 minutes or so, I wanted to come on and make sure everything technologically is working properly. I'm very fortunate today to have Jason Shapiro coming on as a guest to do some speed coaching uh for the traders who would like to have some of that support from him. I usually do these live coachings at least once sometimes twice a month but uh took off for the summer and so just beginning to kind of get these back uh and started again. So, I'm excited to be here and I'm always excited to do uh some coaching for, you know, our viewers. We us used to have when I did these on a regular basis anywhere from 200 to 300 participants and I think basically uh when you pause for any length of time getting that kind of uh a number of people coming on a regular basis is tricky. So my hope is that you might spread the word and uh if you're interested in live coaching for yourself as a trader. Uh usually I will do the uh coaching around the emotional side, the places where you're blocked, the places where you get stuck, uh anything to do with you feeling like you have FOMO and it's just constantly overriding your trading strategy. That's what this is in service to. Now what I often will try to do is bring on a trader, an excellent experienced trader who can coach you guys on the technical side. Uh that level of coaching I think is a one-two punch when you have a co a somebody coaching you around how you're uh trading technically and then of course how you're trading emotionally. I think when you have both of those addressed, you really can become unstoppable. I think part of the issue is often there's one in both categories that easily a trader can sort of be invisible to and not really realize it's happening. So that is ultimately what this is in service to today. What my hope is is that we'll get in a couple of volunteers uh specifically those who want to work with Jason and ask any kind of technical question. So ultimately if you do have a question that you are comfortable uh you know putting out there so to speak uh I would invite you to uh raise your hand make put a comment in. I'm monitoring all the platforms Reream is on and I'm going to send you an invitation then for you to come in. I'm going to put it into the comments right now. Uh so that you can come in and have your issue addressed. Uh again, if it's a technical issue, then feel free to come on in for Jason to uh address for you. He'll be coming on in about 10 minutes. So, I thought I'd come in a little bit early to kind of, you know, let you guys know that that's what we're hoping to do today. Whenever I have done these in the past, the best conversations have been when a trader is willing to come into this room. So, if you see in the comments there, there's a link to this reream. What I'm going to do now is go into um the live at least on X and put this link here. So if you uh if you want some oneonone coaching going to put that in here now click this link and then what will happen of course is you'll be coming into this live stream. So I just I just want you to be clear that you will be live and um but you know look at the end of the day guys even when you are live you can mitigate your question you can you can put that question forward in whatever vulnerable state you want it to be. You don't have to go too deep. You can be actually quite um you know conservative in what you say out loud. you can still get a lot of value even if you don't speak specifically you know to the deep deep deep dark uh of what you are looking for. Use your judgment but I think this is an amazing forum that can get you jumparted in a way that you usually wouldn't be had you not done this. So remember big part of trading is a willingness to be with the discomfort. Right? At the end of the day the one of the biggest challenges that I see traders have is they have yet to learn how to develop what I call emotional grit. The difficulty admitting to yourself that you were wrong. The reason you stay in trades too long is because it's hard for you to be mistaken. It's hard for you to be incorrect. Why do traders stay too long in a trade? Because their ego is, you know, not happy and and they don't admit it and so they stay too long. This is something that comes down to how flexible your relationship is to yourself. how your how flexible you are in your relationship to being human. Okay, you're always going to be human. So, the key here is do you have the emotional fortitude for what is inevitable as a trader? Do you have the emotional flexibility to be able to not take it personally? And if you take it personally, I promise you, you're going to pay not only with your capital, but you're going to pay with just time and suffering that you otherwise would not have to pay. So, that's part of why I do these lives. My hope is to ultimately put this kind of toolkit in every trader's uh, you know, garage, so to speak. I want you guys have to have the best toolkit so that when either you're uh feeling triggered, when you're feeling crushed, when you're feeling undisiplined, you have a tool for that. I've put this collection of tools together over the past 20 years as a coach and another 10 years when I worked in finance. All of these are tools that I know work because I use them myself and I've been sharing them with clients for 20 years and I see the results they create for themselves. So part of what I feel is really critical today is to address that emotional grit. Is it as strong as it could be? How and where could it get stronger? And what I like to do in these live coachings is bring in a trader who can coach you guys on the technical side of what is happening for yourself with your trading. Where are you bumping into issues? Now, is it vulnerable to come into this conversation? Of course it is. But think about it. If this is an opportunity to talk to someone with the stature of success that Jason Shapiro has as a market wizard, why would you not take that risk? Why wouldn't you be willing to be vulnerable so that you could walk away with gold? That is the question you want to ask yourself. If you find resistance coming up at, oh, I don't want to look silly. I don't want to look like u you know like I don't have it all figured out in front of my colleagues or in front of my peers. That already is telling you you probably don't have as much emotional fortitude, emotional grit as emotional uh flexibility as you want to as your trading uh you know career will require of you. So this is what I'm saying all the time to traders. Step out of judgment and step into curiosity. The more curious you are about yourself, about your colleagues, about your trades, about what the market's doing, about what's happening, the better you will be. When you step into judgment, whether that judgment is over yourself or over, you know, your concern of what other people will think of you, you have restricted your bandwidth. You have restricted your creativity. You've restricted your vision. You've restricted your capabilities. And I don't want to see anybody do that. All right. So, um, checking here. Looks like we have about 50 people uh in tip in X alone. So, I'm kind of curious uh what and where. And again, if you feel too uncomfortable and don't want to come into this live stream, then please feel free to put your questions. You can put your questions in X, you can put your questions on LinkedIn, wherever you want to put those questions. Please feel free to do it. uh because I will be I I will be looking at them and I will be reading them and I want you guys to really feel like okay maybe I'm not comfortable enough to go into the room. Maybe I'm not comfortable to go on the live but I am at least willing to put my question forward and have it addressed. So at least take up that opportunity for yourself. Uh because you know at the end of the day guys the more you develop yourself, the more you take responsibility for how you show up in your trading, in your life, in your relationships, the more chance you have at learning about yourself and further having a better chance of becoming much more conscious to how your trading is going. Just try to remember that your trading ultimately is going to be incredibly dependent on you being very honest with yourself. Think about the times when you have kidded yourself. Think about the times when you have told yourself white lies or straight up hardcore lies. Think about the cost that you've paid. In my experience, what I've seen is that when I am not willing to be with a uncomfortable truth, the cost at the beginning would have been so much lower than the cost that happens weeks, months, or years later. There is a a really amazing phrase, I don't know if you've ever read this book by Joan Ddion called magical thinking. And I am sorry to say there are a lot of traders out there who suffer from magical thinking. What is magical thinking? It's a willingness to step into sort of a fantasy land of what you wish life was of what you wish your trading was doing of what you wish you were able to do financially and otherwise. So much so that distracts you from the reality of what is happening right now. That is the essence of magical thinking. Why is that of danger? Because it indicates that you possibly are telling yourself what your ego wants to hear and not what is actually the truth. And this is why it's really really important guys for you to come from a place of okay I am willing to be with real discomfort and I'm willing to take risks like this kind of a risk. the kind of risk that coming into a live stream will it's only emotionally risky, right? You're there's enough no kind of physical harm that's going to come to you. Coming into this room, coming in to ask for coaching assistance, coming in to ask for some input, that isn't going to hurt you except if your ego is attached to how you look. If your ego is attached to having a certain kind of image and now you got to think about it too. Do you really expect yourself to be perfect? A lot of traders do and that also causes them a great deal of harm because when you come from a place of expecting yourself to be perfect, expecting yourself to have all your ducks in a row, that also can contribute to a lot of uh failure because you are expecting perfection from an imperfect creature yourself. Humans are fallible. You will never not be fallible. So if you start to expect of yourself something that is an inappropriately high expectation, you have to be really honest with yourself. How could that possibly serve you? It's one thing to have some goals, but it's another thing to have inappropriate expectations. Hi Jason, how are you today? I'm well Kim, how are you? I'm doing good. It's good to have you here. Thanks for coming today. Yeah, this whole thing's working. You can hear me and all that. All crystal clear. Miracle. Excellent. How is uh how's the day been for you? Uh cannot complain. Okay, good. Jason, I've you know always watch you on X and um you know you sometimes I I feel are trying to kind of you know shake the shoulders of some traders and have them just see things perhaps they don't see in this current environment. What do you feel is at least one thing you keep noticing that traders kind of struggle with seeing? Um, the main thing that I started talking about yesterday is that I think that you have a lot of talk about uh the stock market being a bubble here, but you don't seem to have any talk about gold being a bubble here. Uh, gold is up more than the stock market. Why is the stock market a bubble and gold's not a bubble? I'm not taking either side. I'm just asking the question, why is the stock market a bubble, but gold is not a bubble? when gold is up more and in fact when I look at positioning stuff people are a lot more long gold than they are the stock market and a lot more bullish gold than they are the stock market. So why is one a bubble but the other one's not? I think that's what people are missing here. Yep. And what is the what do you think causes them to have that blind spot? Bias. And and do you feel that bias comes because they're just listening to too much noise or do you think it's because they personally want it to be the case? I think they want it to be the case. I think that the vast majority of people are well underinvested in the stock market in particular relative to what it's done. Um so therefore they want to believe in the bearish case and part of the bearish case is the US is falling apart, the dollar is falling apart, the f theat currency system is falling apart. So that's bullish gold. I think it all ties in to the psychology of the I'm underinvested therefore I have to be bearish case. Do you feel like it's been like this for a while? Oh, yeah. This has been the most hated bull market in the stock market that I can ever recall for the last three years. I mean, I've been pointing this out and talking about this and I'm not just guessing. I'm looking at, you know, again, I can have bias just like anybody else, but I tried to use data to tell me, you know, um, and the data has been pointing week after week after week, um, that this has been the most hated stock market that we've ever seen. that's starting to change now because I think that people um are believing that while this may be a bubble in the stock I hear this all day while this may be a bubble even the people that think it may be a bubble in the stock market think that there's more to go in that bubble I hear that all day every day um I think that people believe that uh and that the last part of the year is going to be very bullish. Um, we started hearing a lot of that in the summer where the idea was, well, the last part of the year is going to be very bullish, but September has bad seasonals, so what you want to do is wait for the market dip in September and buy that for the last half of the year. Well, the market didn't dip in September, did it? It went straight up. You know, it's one of the best Septeers we've ever seen. Um, so that didn't give them a chance to buy the dip. So now I'm watching curiously to see if they are going to chase the rip rather than wait to buy the dip now. Um, and it seems like they're starting to. I don't know that they have fully done that as of yet, but I think probably over the course of between now and the end of October, that's probably the plan. And I don't know if they do or they don't. Again, I'll let the data dictate to me whether they do. That's my thought process that I think they will but let's see if they actually do and if they actually do then I think we uh we might have trouble going into the last part of the year. Yeah. But this all remains to be seen. You know it all is a question of of again monitoring the actual data and not just what AI might think. You know, do you feel that your in, you know, c"
Why 99% of Profitable Traders Use a Journal - Edgewonk,WyW58jrbwTE,"Aloha everybody. Welcome back to the Wall Street Coach. My name is Kim and Curtain and I am so excited to be back from a little summer break. So, thank you all for being here today. I have two amazing gentlemen that I had the pleasure of meeting very recently. Uh we all hit it off uh like gang busters in my humble opinion and I'm so happy to have you both here. Ralph and Maurice, how are you both today? Hello. Very glad to be here. Yes. Thanks so much for having us. I look forward to this conversation a lot. I do too. I do too. Maurice, what did you got to say? Uh well uh for me, I just arrived to Germany two weeks ago and uh I have been between chat. I've been traveling with the family, then the little one. My grandparents are really happy with the uh with the baby. Obviously, I his grandparents, my parents. So, uh I'm I'm really happy. And uh of course, uh work. There's never enough time for work, but uh I made time for this. So, that's good. That's good. Thank you for making time both your schedules. Uh, if you guys haven't heard of Edge Wonk, you're living it under a rock. So, you better get up with the program. And that's what we're going to be talking about today. Of course, Marit's Enroll for both uh the creators of Edgewang. And I'm going to tell you a little bit about it in case you don't know. Uh, it is a professional trading journal created by traders for traders. And it's really got one goal in mind to help you develop, sustain, and improve your edge for consistent returns in the market of your choice with actionable insight and an intuitive user experience. Uh Rolf Schlapman has been trading for 16 years. He's an entrepreneur in the trading space and he co-created Edwan trading journal and authored also an Amazon best-selling book on trading which we'll talk about a little bit later and then more reads Chubzinski uh has been trading since 2012 and is a former professional poker player. Uh he's also the co-founder of Edwank and he is currently traveling the world with his family of three. So gentlemen, thank you so much for being here. And also I want to say because Edunk has been around for a decade. Thank you for creating a trading journal platform which as a coach for traders I know is critically important. Please tell us like what even got you both thinking about creating something like Edwunk? Well uh I'll go first. close. Um the the thing is 10 years ago when we uh both quit our more than 10 years ago when we both quit our corporate jobs to um become full-time traders basically uh there wasn't anything on the market back then and Rol had a gigantic Excel file. I had one and uh we met on an internet forum actually and started exchanging trading trading stuff you know on a daily basis and uh we got talking about the journal and we compared our journals and uh we he had some really cool ideas I had some really cool ideas and we simply combined that and um back then we were building a small community of traders and we thought okay maybe we can give this out to collect emails for our newsletter. Yeah. And but after we put in hundreds of hours to make one of the best Excel files you've ever seen, we were like, &quot;Okay, this is way too good to give away for free.&quot; So, we started selling an Excel file and um we we didn't think anything of it uh because who who buys an Excel file? But suddenly, it took off uh like crazy and people were really in need uh of of a trading channel back then. Yeah. Yeah. I mean, still still I there I'm shocked that I can still hear traders say they don't have a trading journal. I almost fall off my chair each time. What is the reason for that, guys? What is the reason that traders don't prioritize journaling? Can you speak to that a little? Well, I think it is um I'm not sure if it's laziness, but it's also not the awareness of why what the the benefit could be. Yeah, I think a lot of traders associate trading journals with um written diaries that then uh disappear somewhere in your desk. And I think in the past trading journals have not really delivered actionable value to traders. Mhm. So that's why when we built edge, we always put that first that you put in a lot of data, you spend time filling out the journal and everything. So there must be some value that comes out on the other side. And I think in today's world, the journals that you have um do provide a lot of value and provide a lot of actionable steps. But I don't think it has arrived yet in the in the in the mind of all traders. I think more and more traders are waking up to the idea that you must have a trading journal. Yeah. Um but it's a it's a slow process I think. Yeah. Did you want to speak to that too, Marit? Uh I I can say that over the last 10 years u all the traders that we have met um it's always quite obvious that if a trader is very profitable very good at what they do in 99% of cases they do have a journal. if they don't have a journal, they are the one in 100 outlier. Uh like the mad market genius. Um and of course, everyone thinks, &quot;Oh, I'm going to be that genius.&quot; Yeah. Um but I never was and I think most people will never be. So yeah, not having a trading channel is like driving blinds. It's insane. Yeah. Yeah. Would you both speak to the time commitment any trader needs to expect? Let's talk about edge. Uh what would a trader who's considering edge need to really you know be willing to commit to by way of time or you know frequency. We have added a lot of quality of life features over the years. Um so you can simply import from brokers your statements. Um, of course, the data that you get from a broker statement is not nearly as valuable as the manual input that you have to do if you really because the broker doesn't know what is your trading strategy, what is your setup, etc. You will never get that from simply importing a statement. It's great to get the price data in. Um, and then of of course it depends on a how how how detailed you want to journal your trades and then how many trades you take in a day. Yep. Um for me for example if I take three four trades in a day it's been a busy day and then I need 20 minutes in the evening to review my trades. Uh I would say entering the trade into Edgewalk takes me 2 minutes for example. Wow. And then with all my custom stats attached and then on the weekend I would spend another 30 minutes to an hour um going over the whole week. So, I would say if you're a reasonably active day trader, um 1 hour per week roughly on journaling is is plenty. Yep. And if you're a swing trader, maybe even less than that. If you are a sculper, then uh maybe a lot more than that, but yeah, that's awesome. Not a lot of time to commit to is what I'm hearing to not ask this robust heavy lift of any trader. What what inspired Edgewank beyond, you know, the origin story you just said? Like was there also I'm kind of curious just were you leaning into just seeing that traders in general were struggling and did you have your own struggles that you creating your own journal uh was informed by? What were the things you guys bumped into? uh you know especially Rol you're an entrepreneur and Maurice you're coming from being a pro uh poker player I'm just kind of curious did you guys keep a journal prior to trading I had huge inspiration from the poker space because uh there was a software called or still around holder manager and for online poker players so you could upload your hand histories from any bigger poker site. Wow. and it would give you the stats, not only your own stats, um how aggressive are you on the button or under the gun, etc. Also from other players and then you could connect your own uh obviously you could review your hand histories, how you played against this player, that player. You can uh connect a game theory, optimal uh ranges, etc. It gets really deep and nerdy. Wow. And uh I loved that software back then because it gave me such a such an edge over other people until everyone started using it. Mhm. And and then obviously that edge became smaller and smaller over time. Yeah. But then when I came to trading, it was absolutely like not even a discussion that I had to have with myself. I was like, &quot;Okay, the first thing I'm going to get is an Excel file and I'm going to take screenshots of every trade and I'm going to write down my thoughts and everything.&quot; And that's that was absolute no-brainer for me. Yeah. Wow. And R, you've been trading 15 years. You said 16 years. Yeah. Something like that. So, um I always since I was 12, 13, I was building websites and creating stuff online. So, that was always a passion of mine. Yeah. But on the other hand, I was uh I was studying finance in university and I was working uh at a corporate student job um uh at the side in a finance department. And obviously if you work in a finance department, you have to track stuff. You have to see where you spend money, which departments uh what budgets are there and you need to exactly know which where each dollar goes and what's the revenue, where's the where's it generated. And um that is just how I then connected the two. I I saw it really I think back then there were like those classics uh trading in the zone, the market wizards and yeah every now and then you would stumble upon a trading journal and I just thought it made sense that you just track your stuff and see where you're spending money, what is working, what isn't working and then just over time it developed into okay uh you have different setups. I need to know which setup performs which way. and then all the other stuff but at the core there was this just the need for tracking um and seeing and seeing the data. Yeah. Yeah. What would you say that your you know biggest challenge has been in general perhaps with the platform itself or beyond that with just uh creating a tool that's going to work for all traders? Um I can I think there's been the the the eternal battle between comfort and function because yeah people don't want to put a lot of time into journaling. I get that but and we try to make it as comfortable as possible. But on the other hand, if you really want to dig deeper into your edge, you need to have at least a little bit of time input. But we are even working on that right now uh with um some some automated um analysis features of your of your edge for example where it will tell you okay every Wednesday 11 a.m. maybe you should stop trading stuff like that. Wow. Yeah. So we are building a leak finder basically so which is really really cool tool. Um but that has been the biggest challenge for sure I think where we have all these ideas and I personally I'm a data guy. I love I love journaling. I love inputting the data etc. For me it's never been an issue. Um but I get where people are coming from most of the time. Yeah. Sometimes sometimes I'm like oh no I don't want to make this simpler than it has to be. But I get that too. I I feel like especially because you're a trader, you can recognize and have empathy. Like I I suspect because you both are traders, you know, your level of empathy for what the experience is like is going to be heightened. And yet, just like tough love, you know that sometimes what's a little tough ask is going to help exponentially uh transform a trader's you know experience and hopefully get them closer to consistent profitability. So tell me just a little bit about I don't how how much of the in the individual that you have in that system do you guys get to see whether anonymously or not? like I'm curious if you can tell us what are the common mistakes you see among the traders who are part of Edgewan if if you're able to share that. Yeah and I think this is actually super fascinating. It's something that we started diving very deep in uh for since since a year I think. Um so on our YouTube channel for the last eight years we kept doing those journal reviews. our customers can send us an email say hey I need help analyze my journal and we put that on on YouTube and um we took this one step further so we took 10 people six months ago and we are following them months after months we do a follow-up call we go into the data h and we point out here this is what the data says um this suggests specific weakness in your trading and what we found is that we have traders uh young traders old traders new traders as experienced traders, day traders, swing traders, forex, crypto, you name it, everything uh across the world. But when you boil it down, we always come back to the same eight to 10 things that we look at data wise that is going to tell you so much about their behavior, about their processes. You can even um draw conclusions from specific data points in the journal, about how stressed they are in their in their um in their trading. Yep. And that has been um I think one of the biggest uh and most fascinating things that even though traders are very different at the end you can bring it back to 10 8 to 12 data points that Wow. Uh if you focus on them they're going to tell you a lot about your trading and where you need to work on. Wow. Are you able to tell us one or two? Yeah, totally. Um so when we open a brand new Edgeong journal um you see obviously the or not a brand new but a new journal from a trader that has been using edge. You look at okay what's the win rate the reward to risk ratio from there on um when we see a very low reward to risk ratio it means that your average winning trade is not much larger than your average losing trade. Uh we then go into what we have is called the trade management feature because and this has been um in edge since the Excel version which we are very proud of that we had this from the very start. We know that one of the biggest weaknesses traders or problems that traders have is that they get out of their winning trades too soon and then they leave a lot of money on the table. So the trade management feature can measure this. So it measures your active approach where do you actually get out versus uh would you have made more money if you would let the price run to your takerit and very often we see that traders leave a lot of money on the table. Yeah. So fixing their trademark and even then the awareness I think here is the first big step. You need to bring this to their awareness um that there is an issue. Yeah. If you only look at your broker history you don't see that. You have no clue that this is an issue. They might have a feeling. you might think maybe there is something but unless you really see it in your data there's not going to be uh there's no possibility for change I think from there on we look at okay what what what else is going on we look at how long is the trader trading every day so in you can see um how active are they during the day do they trade only a specific session do they trade throughout the day and what we see is that a lot of traders that are struggling uh break even losing traders the"
